query,function,identifier,url,score
copy to clipboard,"def copy_path_to_clipboard(self):
        """"""
        Copies the file path to the clipboard
        """"""
        path = self.get_current_path()
        QtWidgets.QApplication.clipboard().setText(path)
        debug('path copied: %s' % path)",FileSystemHelper.copy_path_to_clipboard,https://github.com/pyQode/pyqode.core/blob/a99ec6cd22d519394f613309412f8329dc4e90cb/pyqode/core/widgets/filesystem_treeview.py#L494-L500,1.1872485
copy to clipboard,"def copy_to_clipboard(self, event):
        log.critical(""Copy to clipboard"")
        text = self.text.get(""1.0"", tkinter.END)
        print(text)
        self.root.clipboard_clear()
        self.root.clipboard_append(text)",TkPeripheryBase.copy_to_clipboard,https://github.com/jedie/DragonPy/blob/6659e5b5133aab26979a498ee7453495773a4f6c/dragonpy/components/periphery.py#L163-L168,1.1863319
copy to clipboard,"def copy(self):
        """"""Copy text to clipboard""""""
        cliptxt = self._sel_to_text( self.selectedIndexes() )
        clipboard = QApplication.clipboard()
        clipboard.setText(cliptxt)",ArrayView.copy,https://github.com/spyder-ide/spyder/blob/f76836ce1b924bcc4efd3f74f2960d26a4e528e0/spyder/plugins/variableexplorer/widgets/arrayeditor.py#L526-L530,1.1825491
copy to clipboard,"def copy(string, **kwargs):
    """"""Copy given string into system clipboard.""""""
    window = Tk()
    window.withdraw()
    window.clipboard_clear()
    window.clipboard_append(string)
    window.destroy()
    return",copy,https://github.com/kennethreitz/xerox/blob/c34d2fb03ff892b31016173c520e784e86cc2d70/xerox/tkinter.py#L14-L21,1.1816088
copy to clipboard,"def Copy_to_Clipboard(self, event=None):
        ""copy bitmap of canvas to system clipboard""
        bmp_obj = wx.BitmapDataObject()
        bmp_obj.SetBitmap(self.bitmap)

        if not wx.TheClipboard.IsOpened():
           open_success = wx.TheClipboard.Open()
           if open_success:
              wx.TheClipboard.SetData(bmp_obj)
              wx.TheClipboard.Close()
              wx.TheClipboard.Flush()",FigureCanvasWx.Copy_to_Clipboard,https://github.com/ArduPilot/MAVProxy/blob/f50bdeff33064876f7dc8dc4683d278ff47f75d5/MAVProxy/modules/lib/MacOS/backend_wx.py#L776-L786,1.180516
copy to clipboard,"def copy_to_clipboard(self, copy=True):
        """"""
        Copies the selected items to the clipboard
        :param copy: True to copy, False to cut.
        """"""
        urls = self.selected_urls()
        if not urls:
            return
        mime = self._UrlListMimeData(copy)
        mime.set_list(urls)
        clipboard = QtWidgets.QApplication.clipboard()
        clipboard.setMimeData(mime)",FileSystemHelper.copy_to_clipboard,https://github.com/pyQode/pyqode.core/blob/a99ec6cd22d519394f613309412f8329dc4e90cb/pyqode/core/widgets/filesystem_treeview.py#L347-L358,1.179206
copy to clipboard,"def copy(string):
    """"""Copy given string into system clipboard.
    """"""
    win32clipboard.OpenClipboard()
    win32clipboard.EmptyClipboard()
    win32clipboard.SetClipboardText(string)
    win32clipboard.CloseClipboard()",copy,https://github.com/Gr1N/copypaste/blob/7d515d1d31db5ae686378b60e4c8717d7f6834de/copypaste/win.py#L14-L20,1.1789852
copy to clipboard,"def Copy_to_Clipboard(self, event=None):
        img = self.make_composite_image()
        bmp_obj = wx.BitmapDataObject()
        bmp_obj.SetBitmap(image2wxbitmap(img))

        if not wx.TheClipboard.IsOpened():
            open_success = wx.TheClipboard.Open()
            if open_success:
                wx.TheClipboard.SetData(bmp_obj)
                wx.TheClipboard.Close()
                wx.TheClipboard.Flush()",ImageMatrixFrame.Copy_to_Clipboard,https://github.com/newville/wxmplot/blob/8e0dc037453e5cdf18c968dc5a3d29efd761edee/wxmplot/imagematrixframe.py#L277-L287,1.1777979
copy to clipboard,"def copy_request_to_clipboard(self):
        txt = "" "".join(self.context_model.request)
        clipboard = app.clipboard()
        clipboard.setText(txt)
        with app.status(""Copied request to clipboard""):
            pass",ContextSubWindow.copy_request_to_clipboard,https://github.com/nerdvegas/rez/blob/1d3b846d53b5b5404edfe8ddb9083f9ceec8c5e7/src/rezgui/windows/ContextSubWindow.py#L103-L108,1.1775157
copy to clipboard,"def __update_buttons(self):
        self.__update_scan_button_state()
        self.__update_abort_button_state()
        self.__update_record_button_state()
        self.__update_record_abort_button_state()",ScanControlStateController.__update_buttons,https://github.com/nion-software/nionswift-instrumentation-kit/blob/b20c4fff17e840e8cb3d544705faf5bd05f1cbf7/nionswift_plugin/nion_instrumentation_ui/ScanControlPanel.py#L256-L260,1.1772783
convert html to pdf,"def toPdf(self):
        html = safe_unicode(self.template()).encode('utf-8')
        pdf_data = createPdf(html)
        return pdf_data",AnalysesRetractedListReport.toPdf,https://github.com/senaite/senaite.core/blob/7602ce2ea2f9e81eb34e20ce17b98a3e70713f85/bika/lims/browser/referenceanalysis.py#L85-L88,1.3150195
convert html to pdf,"def render_to_pdf(template, context, using=None, request=None, encoding=""utf-8"", **kwargs):
    """"""
    Create PDF document from Django html template.

    :param str template: Path to Django template
    :param dict context: Template context
    :param using: Optional Django template engine
    :param request: Django HTTP request
    :type request: :class:`django.http.HttpRequest`

    :returns: rendered PDF
    :rtype: :class:`bytes`

    :raises: :exc:`~easy_pdf.exceptions.PDFRenderingError`, :exc:`~easy_pdf.exceptions.UnsupportedMediaPathException`
    """"""
    content = loader.render_to_string(template, context, request=request, using=using)
    return html_to_pdf(content, encoding, **kwargs)",render_to_pdf,https://github.com/nigma/django-easy-pdf/blob/327605b91a445b453d8969b341ef74b12ab00a83/easy_pdf/rendering.py#L122-L138,1.2999728
convert html to pdf,"def convertToPDF(self, from_page=0, to_page=-1, rotate=0):
        """"""Convert document to PDF selecting page range and optional rotation. Output bytes object.""""""
        if self.isClosed or self.isEncrypted:
            raise ValueError(""operation illegal for closed / encrypted doc"")

        return _fitz.Document_convertToPDF(self, from_page, to_page, rotate)",Document.convertToPDF,https://github.com/pymupdf/PyMuPDF/blob/917f2d83482510e26ba0ff01fd2392c26f3a8e90/fitz/fitz.py#L1958-L1963,1.2879243
convert html to pdf,"def render_pdf(
    template,
    file_,
    url_fetcher=staticfiles_url_fetcher,
    context=None,
):
    """"""
    Writes the PDF data into ``file_``. Note that ``file_`` can actually be a
    Django Response object as well.

    This function may be used as a helper that can be used to save a PDF file
    to a file (or anything else outside of a request/response cycle), eg::

    :param str html: A rendered HTML.
    :param file file_: A file like object (or a Response) where to output
        the rendered PDF.
    """"""
    context = context or {}

    html = get_template(template).render(context)
    HTML(
        string=html,
        base_url='not-used://',
        url_fetcher=url_fetcher,
    ).write_pdf(
        target=file_,
    )",render_pdf,https://github.com/WhyNotHugo/django-renderpdf/blob/56de11326e61d317b5eb08c340790ef9955778e3/django_renderpdf/helpers.py#L53-L79,1.2826487
convert html to pdf,"def _repr_html_(self):
        r_wcxf = self.wc._repr_html_()
        r_wcxf = '\n'.join(r_wcxf.splitlines()[2:])  # remove WCxf heading
        html = ""<h3>Wilson coefficients</h3>\n\n""
        html += r_wcxf
        return html",Wilson._repr_html_,https://github.com/wilson-eft/wilson/blob/4164f55ff663d4f668c6e2b4575fd41562662cc9/wilson/classes.py#L142-L147,1.2825773
convert html to pdf,"def serve_pdf_from_html(html: str,
                        offered_filename: str = ""test.pdf"",
                        **kwargs) -> HttpResponse:
    """"""
    Same args as ``pdf_from_html()``.
    WATCH OUT: may not apply e.g. wkhtmltopdf options as you'd wish.
    """"""
    pdf = get_pdf_from_html(html, **kwargs)
    return serve_buffer(pdf,
                        offered_filename=offered_filename,
                        content_type=MimeType.PDF,
                        as_attachment=False,
                        as_inline=True)",serve_pdf_from_html,https://github.com/RudolfCardinal/pythonlib/blob/0b84cb35f38bd7d8723958dae51b480a829b7227/cardinal_pythonlib/django/serve.py#L197-L209,1.2803603
convert html to pdf,"def pdf_to_text(pdfstream):
    '''Extract the text from a PDF document, e.g. to add PDF text
    content to an index for searching.

    To use on a file, the syntax is:
        text = pdf_to_text(open(pdf_filepath, 'rb'))

    To use on a datastream from EULFedora, the syntax is:
        pdfobj = repository.get_object(pid)
        text = pdf_to_text(pdfobj.pdf.content)

    :param pdfstream: A file-like object that supports read and seek
        methods, as required by :class:`pyPdf.PdfFileReader`

    '''
    pdfreader = PdfFileReader(pdfstream)
    if pdfreader.isEncrypted:
        raise Exception('Cannot extract text from encrypted PDF documents')
    return '\n'.join([page.extractText() for page in pdfreader.pages])",pdf_to_text,https://github.com/emory-libraries/eulfedora/blob/161826f3fdcdab4007f6fa7dfd9f1ecabc4bcbe4/eulfedora/indexdata/util.py#L20-L38,1.2796508
convert html to pdf,"def write_html(self, text, image_map=None):
        ""Parse HTML and convert it to PDF""
        h2p = HTML2FPDF(self, image_map)
        text = h2p.unescape(text) # To deal with HTML entities
        h2p.feed(text)",HTMLMixin.write_html,https://github.com/m32/endesive/blob/973091dc69847fe2df594c80ac9235a8d08460ff/endesive/pdf/fpdf/html.py#L397-L401,1.2789177
convert html to pdf,"def html_to_small_ansi(string):
    hashed = hashed_html(string)
    for ansi, html in small_values():
        if html == hashed:
            return ansi
    return None",html_to_small_ansi,https://github.com/jalanb/pysyte/blob/4e278101943d1ceb1a6bcaf6ddc72052ecf13114/pysyte/colours/colour_numbers.py#L165-L170,1.2761621
convert html to pdf,"def pdf_to_img(pdf_file, page_num, page_width, page_height):
    """"""
    Converts pdf file into image
    :param pdf_file: path to the pdf file
    :param page_num: page number to convert (index starting at 1)
    :return: wand image object
    """"""
    img = Image(filename=""{}[{}]"".format(pdf_file, page_num - 1))
    img.resize(page_width, page_height)
    return img",pdf_to_img,https://github.com/HazyResearch/pdftotree/blob/5890d668b475d5d3058d1d886aafbfd83268c440/pdftotree/utils/display_utils.py#L65-L74,1.2760434
json to xml conversion,"def _xml_to_dict(xml_to_convert):
    """"""
    Convert RAW XML string to Python dict
    :param xml_to_convert: XML to convert (string/text)
    :return: Python dict with all XML data
    """"""

    logger.debug(""Converting to Python dict this XML: "" + str(xml_to_convert))
    return xmltodict.parse(xml_to_convert, attr_prefix='')",_xml_to_dict,https://github.com/telefonicaid/fiware-sdc/blob/d2d5f87fc574caf6bcc49594bbcb31f620ba8c51/python-sdcclient/utils/rest_client_utils.py#L178-L186,1.2400231
json to xml conversion,"def element_as_json(name):
    """""" Get specified element json data by name

    :param name: name of element
    :return: json data representing element, else None
    """"""
    if name:
        element = fetch_json_by_name(name)
        if element.json:
            return element.json",element_as_json,https://github.com/gabstopper/smc-python/blob/e027b8a5dcfaf884eada32d113d41c1e56b32457/smc/actions/_search.py#L56-L65,1.2382308
json to xml conversion,"def to_json(self, value):
        """"""
        Serialize the data, ensuring that it is valid XML (or None).

        Raises an lxml.etree.XMLSyntaxError if it is a basestring but not valid
        XML.
        """"""
        if self._enable_enforce_type:
            value = self.enforce_type(value)
        return super(XMLString, self).to_json(value)",XMLString.to_json,https://github.com/edx/XBlock/blob/368bf46e2c0ee69bbb21817f428c4684936e18ee/xblock/fields.py#L927-L936,1.2371857
json to xml conversion,"def element_as_json_with_filter(name, _filter):
    """"""
    Get specified element json data by name with filter.
    Filter can be any valid element type.

    :param name: name of element
    :param _filter: element filter, host, network, tcp_service,
                    network_elements, services, services_and_applications, etc
    :return: json data representing element, else None
    """"""
    if name:
        element_href = element_href_use_filter(name, _filter)
        if element_href:
            return element_by_href_as_json(element_href)",element_as_json_with_filter,https://github.com/gabstopper/smc-python/blob/e027b8a5dcfaf884eada32d113d41c1e56b32457/smc/actions/_search.py#L68-L81,1.2352229
json to xml conversion,"def to_json(self, xml):
        ugly_json = self.transform(XML_TO_JSON_KEY, xml)
        if not ugly_json:
            rval = None
        else:
            try:
                rval = json.dumps(json.loads(ugly_json), indent=4)
            except json.JSONDecodeError:
                rval = ugly_json
        return rval",Gateway.to_json,https://github.com/cts2/pyjxslt/blob/66cd9233186cf5000d32e3a5b572e0002a8361c4/pyjxslt-python/src/pyjxslt/XSLTGateway.py#L81-L90,1.2349547
json to xml conversion,"def _etree_to_dict(t):
    d = {}
    for child in t:
        d[child.tag] = _etree_to_dict(child)
    return d or t.text",_etree_to_dict,https://github.com/saltstack/salt/blob/e8541fd6e744ab0df786c0f76102e41631f45d46/salt/modules/glusterfs.py#L113-L117,1.2305306
json to xml conversion,"def as_json(self):
        jdict = OrderedDict()

        jdict['schema-id'] = self.schema_id
        jdict['name'] = self.name
        jdict['description'] = self.description
        jdict['tags'] = self.tags

        return jdict",ProjectTopic.as_json,https://github.com/south-coast-science/scs_core/blob/a4152b0bbed6acbbf257e1bba6a912f6ebe578e5/src/scs_core/osio/config/project_topic.py#L134-L142,1.2291888
json to xml conversion,"def to_json(self):
        doc = super().to_json()
        doc['*'] = str.__str__(self)
        return doc",StringType.to_json,https://github.com/mediawiki-utilities/python-mwtypes/blob/d996562e40437a7fff39a1c00fb5544b5708b5ed/mwtypes/string_type.py#L20-L23,1.2284075
json to xml conversion,"def to_json(self):
        """"""
        put the object to json and remove the internal stuff
        salesking schema stores the type in the title
        """"""
        data = json.dumps(self)

        out = u'{""%s"":%s}' % (self.schema['title'], data)
        return out",BaseResource.to_json,https://github.com/salesking/salesking_python_sdk/blob/0d5a95c5ee4e16a85562ceaf67bb11b55e47ee4c/salesking/resources.py#L165-L173,1.2279838
json to xml conversion,"def xml_to_json(s):
    from icy.ext.xml2json import xml2json
    from collections import namedtuple

    Options = namedtuple('options', ['pretty'])
    xml2json_opts = Options(True)
    return xml2json(s, xml2json_opts)",xml_to_json,https://github.com/jorahn/icy/blob/d0bd765c933b2d9bff4d7d646c0938348b9c5c25/icy/utils.py#L63-L69,1.2279183
how to randomly pick a number,"def random(self):
        """"""
        Returns a random value that fits this column's parameters.

        :return: <variant>
        """"""
        minimum = self.minimum() or 0
        maximum = self.maximum() or 100
        return random.randint(minimum, maximum)",AbstractNumericColumn.random,https://github.com/orb-framework/orb/blob/575be2689cb269e65a0a2678232ff940acc19e5a/orb/core/column_types/numeric.py#L29-L37,1.3097976
how to randomly pick a number,"def random(self, max_number=None):
        """""" Return a random integer between min and max (inclusive).
        """"""
        min_number = self.obj
        if max_number is None:
            min_number = 0
            max_number = self.obj
        return random.randrange(min_number, max_number)",underscore.random,https://github.com/serkanyersen/underscore.py/blob/07c25c3f0f789536e4ad47aa315faccc0da9602f/src/underscore.py#L1330-L1337,1.3068044
how to randomly pick a number,"def integers(self, start: int = 0, end: int = 10,
                 length: int = 10) -> List[int]:
        """"""Generate a list of random integers.

        Integers can be negative or positive numbers.
        .. note: You can use both positive and negative numbers.

        :param start: Start.
        :param end: End.
        :param length: Length of list.
        :return: List of integers.

        :Example:
            [-20, -19, -18, -17]
        """"""
        return self.random.randints(
            length, start, end)",Numbers.integers,https://github.com/lk-geimfari/mimesis/blob/4b16ee7a8dba6281a904654a88dbb4b052869fc5/mimesis/providers/numbers.py#L30-L46,1.3044101
how to randomly pick a number,"def next_integer(min, max = None):
        if max == None:
            max = min
            min = 0

        if max - min <= 0:
            return min

        return random.randint(min, max - 1)",RandomInteger.next_integer,https://github.com/pip-services/pip-services-commons-python/blob/2205b18c45c60372966c62c1f23ac4fbc31e11b3/pip_services_commons/random/RandomInteger.py#L17-L25,1.3029932
how to randomly pick a number,"def get_random_int(minimum, maximum):
    """"""
    Returns a random integer between min (included) and max (excluded)
    """"""
    min_int = math.ceil(minimum)
    max_int = math.floor(maximum)

    return random.randint(min_int, max_int - 1)",get_random_int,https://github.com/awslabs/serverless-application-model/blob/cccb0c96b5c91e53355ebc07e542467303a5eedd/examples/apps/lex-make-appointment-python/lambda_function.py#L125-L132,1.3022721
how to randomly pick a number,"def randbelow(num: int) -> int:
    """"""Return a random int in the range [0,num).

    Raises ValueError if num <= 0, and TypeError if it's not an integer.

    >>> randbelow(16)  #doctest:+SKIP
    13

    """"""
    if not isinstance(num, int):
        raise TypeError('number must be an integer')
    if num <= 0:
        raise ValueError('number must be greater than zero')
    if num == 1:
        return 0

    # https://github.com/python/cpython/blob/3.6/Lib/random.py#L223
    nbits = num.bit_length()    # don't use (n-1) here because n can be 1
    randnum = random_randint(nbits)    # 0 <= randnum < 2**nbits
    while randnum >= num:
        randnum = random_randint(nbits)
    return randnum",randbelow,https://github.com/HacKanCuBa/passphrase-py/blob/219d6374338ed9a1475b4f09b0d85212376f11e0/passphrase/secrets.py#L63-L84,1.3011155
how to randomly pick a number,"def between(self, minimum: int = 1, maximum: int = 1000) -> int:
        """"""Generate a random number between minimum and maximum.

        :param minimum: Minimum of range.
        :param maximum: Maximum of range.
        :return: Number.
        """"""
        return self.random.randint(minimum, maximum)",Numbers.between,https://github.com/lk-geimfari/mimesis/blob/4b16ee7a8dba6281a904654a88dbb4b052869fc5/mimesis/providers/numbers.py#L94-L101,1.3000746
how to randomly pick a number,"def random_number(length):
    low = pow(10, length - 1)
    high = pow(10, length) - 1
    return random_object().randint(low, high)",random_number,https://github.com/collectiveacuity/labPack/blob/52949ece35e72e3cc308f54d9ffa6bfbd96805b8/labpack/randomization/randomlab.py#L15-L18,1.2975094
how to randomly pick a number,"def rand_int(start=1, end=10, seed=None):
    '''
    Returns a random integer number between the start and end number.

    .. versionadded: 2015.5.3

    start : 1
        Any valid integer number

    end : 10
        Any valid integer number

    seed :
        Optional hashable object

    .. versionchanged:: 2019.2.0
        Added seed argument. Will return the same result when run with the same seed.


    CLI Example:

    .. code-block:: bash

        salt '*' random.rand_int 1 10
    '''
    if seed is not None:
        random.seed(seed)
    return random.randint(start, end)",rand_int,https://github.com/saltstack/salt/blob/e8541fd6e744ab0df786c0f76102e41631f45d46/salt/modules/mod_random.py#L167-L194,1.2964135
how to randomly pick a number,"def int(self, *args):
        """"""Returns a random int between -sys.maxint and sys.maxint
            INT

        %{INT} -> '1245123'
        %{INT:10} -> '10000000'
        %{INT:10,20} -> '19'
        """"""
        return self.random.randint(*self._arg_defaults(args, [-sys.maxint, sys.maxint], int))",Common.int,https://github.com/cstockton/py-gensend/blob/8c8e911f8e8c386bea42967350beb4636fc19240/gensend/providers/common.py#L250-L258,1.2956202
normal distribution,"def _compare(self,other):
        if self.y < other.y:
            return -1
        elif self.y > other.y:
            return 1
        elif self.x < other.x:
            return -1
        elif self.x > other.x:
            return 1
        else:
            return 0",Site._compare,https://github.com/karimbahgat/Pytess/blob/026d0c6bfc281361d850d9a44af1da6fed45b170/pytess/tesselator.py#L349-L359,1.1083394
normal distribution,"def __ne__(self, other):
        return self._compare(other, lambda s, o: s != o)",_BaseVersion.__ne__,https://github.com/pypa/pipenv/blob/cae8d76c210b9777e90aab76e9c4b0e53bb19cde/pipenv/vendor/packaging/version.py#L58-L59,1.0913367
normal distribution,"def _compare(self,other):
        if self.ystar > other.ystar:
            return 1
        elif self.ystar < other.ystar:
            return -1
        elif self.vertex.x > other.vertex.x:
            return 1
        elif self.vertex.x < other.vertex.x:
            return -1
        else:
            return 0",Halfedge._compare,https://github.com/karimbahgat/Pytess/blob/026d0c6bfc281361d850d9a44af1da6fed45b170/pytess/tesselator.py#L466-L476,1.0907092
normal distribution,"def _compare(self, a, b):
        weights = self.weights
        compare = self.naive_compare
        return compare(weights[a], weights[b])",IndexedPQ._compare,https://github.com/kxgames/kxg/blob/a68c01dc4aa1abf6b3780ba2c65a7828282566aa/kxg/misc/map.py#L275-L278,1.0845002
normal distribution,"def __ne__(self, other):
        if isinstance(other, Score):
            result = self.norm_score != other.norm_score
        else:
            result = self.score != other
        return result",Score.__ne__,https://github.com/scidash/sciunit/blob/41b2e38c45c0776727ab1f281a572b65be19cea1/sciunit/scores/base.py#L169-L174,1.0842623
normal distribution,"def _checksum(self, *data):
        csum = sum(data)
        csum ^= 0xff
        csum += 1
        csum &= 0xff
        return csum",IpmiServerContext._checksum,https://github.com/rhtyd/ipmisim/blob/3ffaad985354083eb451897971b3f016e5234929/ipmisim/ipmisim.py#L88-L93,1.0841901
normal distribution,"def __eq__(self, other):
        return self._compare(other, lambda s, o: s == o)",_BaseVersion.__eq__,https://github.com/pypa/pipenv/blob/cae8d76c210b9777e90aab76e9c4b0e53bb19cde/pipenv/vendor/packaging/version.py#L49-L50,1.0840752
normal distribution,"def __eq__(self, other):
        if not isinstance(other, Number):
            return Boolean(False)
        return self._compare(other, operator.__eq__, soft_fail=True)",Number.__eq__,https://github.com/Kronuz/pyScss/blob/fb32b317f6e2b4b4aad2b86a74844658ac4aa11e/scss/types.py#L332-L335,1.0835598
normal distribution,"def _compare(self, other, method):
        if not isinstance(other, BaseVersion):
            return NotImplemented

        return method(self._key, other._key)",BaseVersion._compare,https://github.com/sdispater/poetry/blob/2d27acd76c165dd49f11934520a7973de7a3762a/poetry/version/base.py#L23-L27,1.0807933
normal distribution,"def _compare(self, other, method):
        if not isinstance(other, _BaseVersion):
            return NotImplemented

        return method(self._key, other._key)",_BaseVersion._compare,https://github.com/pypa/pipenv/blob/cae8d76c210b9777e90aab76e9c4b0e53bb19cde/pipenv/vendor/packaging/version.py#L61-L65,1.080611
nelder mead optimize,"def scan_forward(bb: Bitboard) -> Iterator[Square]:
    while bb:
        r = bb & -bb
        yield r.bit_length() - 1
        bb ^= r",scan_forward,https://github.com/niklasf/python-chess/blob/d91f986ca3e046b300a0d7d9ee2a13b07610fe1a/chess/__init__.py#L206-L210,1.1236734
nelder mead optimize,"async def after_update(self, raw_post: Dict, values: SQLValuesToWrite,
                           old_records: List[DataRecord], records: List[DataRecord]):
        """"""
        :param old_records:
        :param raw_post:
        :param values:
        :param records:
        :return:
        """"""",AbstractSQLView.after_update,https://github.com/fy0/slim/blob/9951a910750888dbe7dd3e98acae9c40efae0689/slim/base/view.py#L786-L794,1.1222147
nelder mead optimize,"def _arg(self, tok, colon_loc=None, annotation=None):
        loc = tok.loc
        if annotation:
            loc = loc.join(annotation.loc)
        return ast.arg(arg=tok.value, annotation=annotation,
                       arg_loc=tok.loc, colon_loc=colon_loc, loc=loc)",Parser._arg,https://github.com/google/grumpy/blob/3ec87959189cfcdeae82eb68a47648ac25ceb10b/third_party/pythonparser/parser.py#L484-L489,1.1201674
nelder mead optimize,"def reverse_weights(weights):
    r = weights / (1 - _)
    norm = sum(r)
    return r / (_ / norm) if norm > 0 else r",reverse_weights,https://github.com/tek/chiasma/blob/1df1bb294d0ecf7da150af0f39b729eb1dcf9715/chiasma/window/measure.py#L125-L128,1.1192378
nelder mead optimize,"def _gfPolyMult(self, polyA, polyB):
		# initialise the product
		polyProd = len(polyA) + len(polyB) - 1
		polyProd = [0] * polyProd
		
		# start multiplying
		for posB in range(0, len(polyB)):
			for posA in range(0, len(polyA)):
				polyProd[posA + posB] ^= self.__gfMult(polyA[posA], polyB[posB])
		
		# return the product result
		return (polyProd)",ReedSolomon._gfPolyMult,https://github.com/lrq3000/pyFileFixity/blob/fd5ef23bb13835faf1e3baa773619b86a1cc9bdf/pyFileFixity/lib/reedsolomon/ReedSolomon_alt.py#L98-L109,1.1185007
nelder mead optimize,"def _linear_decorelate_color(t):
  """"""Multiply input by sqrt of emperical (ImageNet) color correlation matrix.
  
  If you interpret t's innermost dimension as describing colors in a
  decorrelated version of the color space (which is a very natural way to
  describe colors -- see discussion in Feature Visualization article) the way
  to map back to normal colors is multiply the square root of your color
  correlations. 
  """"""
  # check that inner dimension is 3?
  t_flat = tf.reshape(t, [-1, 3])
  color_correlation_normalized = color_correlation_svd_sqrt / max_norm_svd_sqrt
  t_flat = tf.matmul(t_flat, color_correlation_normalized.T)
  t = tf.reshape(t_flat, tf.shape(t))
  return t",_linear_decorelate_color,https://github.com/tensorflow/lucid/blob/d1a1e2e4fd4be61b89b8cba20dc425a5ae34576e/lucid/optvis/param/color.py#L32-L46,1.1181271
nelder mead optimize,"def _core(self):
        return core.base_expr(BASEEXPR_OPCODE_CAST,
                              self._arg._core(),
                              self._stype.value)",CastExpr._core,https://github.com/h2oai/datatable/blob/dd5fba74d2ca85b66f82ae3c1e0b6ea2fd792564/datatable/expr/cast_expr.py#L28-L31,1.1179221
nelder mead optimize,"def _core(self):
        return core.base_expr(BASEEXPR_OPCODE_UNOP,
                              unary_op_codes[self._op],
                              self._arg._core())",UnaryOpExpr._core,https://github.com/h2oai/datatable/blob/dd5fba74d2ca85b66f82ae3c1e0b6ea2fd792564/datatable/expr/unary_expr.py#L30-L33,1.1164688
nelder mead optimize,"def hsl(self):
        rgba = self.rgba
        h, l, s = colorsys.rgb_to_hls(*rgba[:3])
        return h, s, l",Color.hsl,https://github.com/Kronuz/pyScss/blob/fb32b317f6e2b4b4aad2b86a74844658ac4aa11e/scss/types.py#L920-L923,1.1163232
nelder mead optimize,"def radius_squared(w, h):
    xc = float(w - 1) / 2.0
    yc = float(h - 1) / 2.0
    index = numpy.mgrid[0:h, 0:w]
    return ((((index[1] - xc) ** 2) + ((index[0] - yc) ** 2)) /
            ((xc ** 2) + (yc ** 2)))",radius_squared,https://github.com/jim-easterbrook/pyctools/blob/2a958665326892f45f249bebe62c2c23f306732b/src/pyctools/components/photo/vignettecorrector.py#L32-L37,1.1161885
hash set for counting distinct elements,"def _checksum(self, *data):
        csum = sum(data)
        csum ^= 0xff
        csum += 1
        csum &= 0xff
        return csum",IpmiServerContext._checksum,https://github.com/rhtyd/ipmisim/blob/3ffaad985354083eb451897971b3f016e5234929/ipmisim/ipmisim.py#L88-L93,1.3586962
hash set for counting distinct elements,"def hash(self):
        hashed = super(ListCondition, self).hash()
        return khash(hashed, len(self._value_list), frozenset(self._value_list))",ListCondition.hash,https://github.com/cisco-sas/kitty/blob/cb0760989dcdfe079e43ac574d872d0b18953a32/kitty/model/low_level/condition.py#L137-L139,1.3460518
hash set for counting distinct elements,"def __set_checksum(self):
        """"""
        Sets the checksum on the last byte of buffer,
        based on values in the buffer
        :return: None
        """"""
        checksum = self.__get_checksum(self.__out_buffer.raw)
        self.STRUCT_CHECKSUM.pack_into(self.__out_buffer, self.OFFSET_CHECKSUM, checksum)",Load.__set_checksum,https://github.com/sacherjj/array_devices/blob/ba93a081e555321125ead33cf6fc5197569ef08f/array_devices/array3710.py#L434-L441,1.3450239
hash set for counting distinct elements,"def _set_checksum(self, val):
        self.info.checksum = val
        self.info_modified = True
        self.checksum_modified = True",DatastreamObject._set_checksum,https://github.com/emory-libraries/eulfedora/blob/161826f3fdcdab4007f6fa7dfd9f1ecabc4bcbe4/eulfedora/models.py#L275-L278,1.3440872
hash set for counting distinct elements,"def _set_length(self, length):
        self.has_length = True
        self.length = Length(length)",StructTemplate._set_length,https://github.com/robotframework/Rammbock/blob/c906058d055a6f7c68fe1a6096d78c2e3f642b1c/src/Rammbock/templates/containers.py#L272-L274,1.3439944
hash set for counting distinct elements,"def setMaximumLength( self, length ):
        """"""
        Sets the maximum number of files to be cached when loading.
        
        :param      length | <int>
        """"""
        self._maximumLength = length
        self._filenames = self._filenames[:length]
        self.refresh()",XRecentFilesMenu.setMaximumLength,https://github.com/bitesofcode/projexui/blob/f18a73bec84df90b034ca69b9deea118dbedfc4d/projexui/menus/xrecentfilesmenu.py#L134-L142,1.3426745
hash set for counting distinct elements,"def set_root_hash(self, root_hash):
        assert is_string(root_hash)
        assert len(root_hash) in [0, 32]
        if root_hash == BLANK_ROOT:
            self.root_node = BLANK_NODE
            self._root_hash = BLANK_ROOT
            return
        self.root_node = self._decode_to_node(root_hash)
        self._root_hash = root_hash",Trie.set_root_hash,https://github.com/ethereum/pyethereum/blob/b704a5c6577863edc539a1ec3d2620a443b950fb/ethereum/trie.py#L185-L193,1.3420888
hash set for counting distinct elements,"def hash(self):
        '''
        :rtype: int
        :return: hash of the field
        '''
        hashed = super(Group, self).hash()
        return khash(hashed, frozenset(self._values))",Group.hash,https://github.com/cisco-sas/kitty/blob/cb0760989dcdfe079e43ac574d872d0b18953a32/kitty/model/low_level/field.py#L993-L999,1.341547
